Gruppe;Typ;Inventarnummer;Fabriknummer;Ger�tenummer;LF-Scan;Bemerkung;
Atem-Druckluftflasche;6/300;0164-016348;;ARSL-0165;01160f4c37;Rohflaschen-Nr.: 1D8568;
Atem-Druckluftflasche;6/300;0164-016350;;ARSL-0150;0115fc8d41;Rohflaschen-Nr.: 1D8518;
Atem-Druckluftflasche;6/300;0164-016353;;ARSL-0166;01165dcb88;Rohflaschen-Nr.: 1D8606;
Atem-Druckluftflasche;6/300;0164-016354;;ARSL-0155;01160f4a6e;Rohflaschen-Nr.: 1D8513;
Atem-Druckluftflasche;6/300;0164-016355;;ARSL-0153;01165dcb88;Rohflaschen-Nr.: 1D8604;
Atem-Druckluftflasche;6/300;0164-016356;;ARSL-0174;01160f1e13;Rohflaschen-Nr.: 1D8549;
Atem-Druckluftflasche;6/300;0164-016357;;ARSL-0157;01160f40a0;Rohflaschen-Nr.: 1D8533;
Atem-Druckluftflasche;6/300;0164-016358;;ARSL-0162;01160f7784;Rohflaschen-Nr.: 1D8517;
Atemschutz-Vollmaske;FPS7000;0164-016881;09853143;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-016886;09853175;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016890;09853187;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016909;09853169;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016994;09853188;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-017017;09853141;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-017018;09853146;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-017045;09853109;;;Maske L / Innenmaske 3;
Lungenautomat;PSS LDV M45;0164-016436;06865258;BSSN-2152;;Ger�t 3;
Lungenautomat;PSS LDV M45;0164-016453;06865263;BSSN-2190;;Ger�t 8;
Lungenautomat;PSS LDV M45;0164-016457;06865260;BSSN-2212;;Ger�t 5;
Lungenautomat;PSS LDV M45;0164-016528;06865262;BSSN-2173;;Ger�t 7;
Pressluftatmer;PSS AirBoss Active;0164-016723;;BRSM-2387;;Ger�t 8;
Pressluftatmer;PSS AirBoss Active;0164-016729;;BRSM-2399;;Ger�t 5;
Pressluftatmer;PSS AirBoss Active;0164-016738;;BRSM-2386;;Ger�t 3;
Pressluftatmer;PSS AirBoss Active;0164-016741;;BRSM-2395;;Ger�t 7;
Verbindungsschlauch;RPS 3500;0164-016564;;;;;
Verbindungsschlauch;RPS 3500;0164-016583;;;;;
Atem-Druckluftflasche;6/300;0164-016204;;ARSL-0119;01165df56a;Rohflaschen-Nr.: 1D7808;
Atem-Druckluftflasche;6/300;0164-016205;;ARSL-0118;0115fc8433;Rohflaschen-Nr.: 1D7826;
Atem-Druckluftflasche;6/300;0164-016206;;ARSL-0127;01165dfd4f;Rohflaschen-Nr.: 1D7864;
Atem-Druckluftflasche;6/300;0164-016207;;ARSL-0121;01165dd149;Rohflaschen-Nr.: 1D7831;
Atem-Druckluftflasche;6/300;0164-016208;;ARSL-0120;01160f4aaf;Rohflaschen-Nr.: 1D7809;
Atem-Druckluftflasche;6/300;0164-016209;;ARSL-0162;0115fc210c;Rohflaschen-Nr.: 1D7781;
Atem-Druckluftflasche;6/300;0164-016351;;ARSL-0148;01165dbffe;Rohflaschen-Nr.: 1D8531;
Atem-Druckluftflasche;6/300;0164-016352;;ARSL-0158;01160f3b71;Rohflaschen-Nr.: 1D8582;
Atemschutz-Vollmaske;FPS7000;0164-016883;09853172;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016885;09853165;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-016893;09853171;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016898;09853137;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-016988;09853203;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-016992;09853182;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-017002;09853167;;;Maske L / Innenmaske 3;
Atemschutz-Vollmaske;FPS7000;0164-017006;09853180;;;Maske M / Innenmaske 2;
Lungenautomat;PSS LDV M45;0164-016458;06865264;BSSN-2169;;Ger�t 9;
Lungenautomat;PSS LDV M45;0164-016464;06865259;BSSN-2206;;Ger�t 4;
Lungenautomat;PSS LDV M45;0164-016465;06865261;BSSN-2233;;Ger�t 6;
Lungenautomat;PSS LDV M45;0164-016474;06865257;BSSN-2143;;Ger�t 2;
Pressluftatmer;PSS AirBoss Active;0164-016756;;BRSM-2376;;Ger�t 4;
Pressluftatmer;PSS AirBoss Active;0164-016798;;BRSM-2533;;Ger�t 6;
Pressluftatmer;PSS AirBoss Active;0164-016808;;BRSM-2383;;Ger�t 2;
Pressluftatmer;PSS AirBoss Active;0164-016809;;BRSM-2373;;Ger�t 9;
Verbindungsschlauch;RPS 3500;0164-016537;;;;;
Verbindungsschlauch;RPS 3500;0164-016558;;;;;
Atem-Druckluftflasche;6/300;0164-016347;;ARSL-0164;01160f7c0e;Rohflaschen-Nr.: 1D8560;
Atem-Druckluftflasche;6/300;0164-016349;;ARSL-0160;01160f3afe;Rohflaschen-Nr.: 1D8586;
Atemschutz-Vollmaske;FPS7000;0164-016888;09853121;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016899;09853204;;;Maske L / Innenmaske 3;
Lungenautomat;PSS LDV M45;0164-016440;06865256;BSSN-2406;;Ger�t 1;
Pressluftatmer;PSS AirBoss Active;0164-016758;;BRSM-2400;;Ger�t 1;
Verbindungsschlauch;RPS 3500;0164-016548;;;;;

